neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_density,Entire home/apt,Private room,Shared room,Hotel room,price_avg
47,41.8943,-87.62609,0,85,30,30,1,3,310,672,569,38,63,2,210.493848857645
52,41.85432,-87.70769,2,45,2,6,1,4,88,29,8,0,20,1,36.85
52,41.85423,-87.70784,2,45,2,10,1,4,89,29,8,0,20,1,36.85
52,41.85455,-87.70768,2,45,2,10,1,4,0,29,8,0,20,1,36.85
37,41.94376,-87.65164,2,79,2,320,4,1,355,527,394,10,105,18,182.5142857142857
37,41.93396,-87.64108,0,130,6,29,1,2,119,527,394,10,105,18,255.4746192893401
48,41.85278,-87.62453,0,21,30,22,1,73,218,142,113,0,29,0,172.92920353982302
66,41.97271,-87.65236,0,55,30,46,1,1,216,169,103,3,63,0,183.90291262135923
60,42.01761,-87.67987,2,43,1,132,2,1,0,123,69,0,52,2,63.88461538461539
19,41.88282,-87.72026,0,80,7,0,0,1,0,93,36,0,57,0,120.55555555555556
49,41.88387,-87.65107,2,110,3,71,1,2,362,314,222,0,89,3,61.337078651685395
38,41.92628,-87.64026,0,99,30,541,7,4,96,312,257,0,51,4,199.6614785992218
37,41.9395,-87.64483,0,99,26,504,6,4,31,527,394,10,105,18,255.4746192893401
49,41.87086,-87.68305,0,80,30,314,4,1,117,314,222,0,89,3,187.6081081081081
75,41.91095,-87.67783,0,141,4,181,3,2,353,714,488,18,204,4,191.13319672131146
37,41.93804,-87.64134,2,70,2,9,1,1,358,527,394,10,105,18,182.5142857142857
39,41.97009,-87.67423,0,130,1,11,1,2,82,89,69,0,20,0,127.30434782608695
75,41.90439,-87.68212,0,225,7,22,1,1,346,714,488,18,204,4,191.13319672131146
49,41.8719,-87.68486,2,103,1,103,2,1,365,314,222,0,89,3,61.337078651685395
38,41.92913,-87.66921,0,511,2,77,1,1,102,312,257,0,51,4,199.6614785992218
38,41.91355,-87.63675,2,110,1,23,1,1,89,312,257,0,51,4,106.76470588235294
40,41.92083,-87.68896,2,85,3,305,4,1,325,387,304,0,81,2,73.61728395061728
37,41.9459,-87.65461,1,105,1,33,1,5,365,527,394,10,105,18,94.9
34,41.95564,-87.71154,2,61,2,125,2,1,286,154,83,0,67,4,55.298507462686565
66,41.96952,-87.67239,0,168,3,24,1,1,341,169,103,3,63,0,183.90291262135923
75,41.91079,-87.68746,2,39,2,85,1,1,114,714,488,18,204,4,159.26470588235293
55,41.82781,-87.60523,2,53,1,276,4,4,363,16,8,0,8,0,60.875
38,41.92989,-87.64103,0,346,12,14,1,3,362,312,257,0,51,4,199.6614785992218
74,42.01653,-87.68788,3,21,1,99,2,8,153,66,31,0,29,6,20.833333333333332
38,41.91307,-87.64012,0,105,4,37,1,9,307,312,257,0,51,4,199.6614785992218
38,41.91406,-87.63934,0,401,4,16,1,9,328,312,257,0,51,4,199.6614785992218
41,41.88642,-87.61695,0,60,31,18,1,73,365,366,331,3,31,1,175.2688821752266
55,41.82936,-87.6048,2,55,3,94,2,1,294,16,8,0,8,0,60.875
9,41.71348,-87.67195,2,49,2,166,2,1,364,7,3,0,4,0,33.0
42,41.85763,-87.66236,2,58,2,187,6,2,1,189,119,0,68,2,94.72058823529412
47,41.90607,-87.6488,0,212,3,26,1,2,344,672,569,38,63,2,210.493848857645
47,41.90697,-87.62941,0,354,2,54,1,1,351,672,569,38,63,2,210.493848857645
40,41.91638,-87.68422,0,149,2,293,4,4,232,387,304,0,81,2,159.0559210526316
60,42.01114,-87.67634,0,96,2,99,2,1,359,123,69,0,52,2,152.69565217391303
37,41.93455,-87.66141,2,64,4,274,4,1,346,527,394,10,105,18,182.5142857142857
42,41.859,-87.6462,0,149,2,40,1,1,77,189,119,0,68,2,113.11764705882354
66,41.97282,-87.67257,2,70,4,275,4,1,260,169,103,3,63,0,87.17460317460318
14,41.72836,-87.6136,2,32,2,84,1,1,264,14,11,0,3,0,41.333333333333336
43,41.82516,-87.67456,0,80,1,277,4,1,0,26,13,0,13,0,244.6153846153846
75,41.89322,-87.68572,0,92,2,320,4,4,159,714,488,18,204,4,191.13319672131146
75,41.89665,-87.69719,0,76,44,111,2,1,271,714,488,18,204,4,191.13319672131146
60,41.99892,-87.67322,0,120,3,230,3,1,277,123,69,0,52,2,152.69565217391303
37,41.93465,-87.65754,2,75,2,28,1,3,89,527,394,10,105,18,182.5142857142857
75,41.89003,-87.66254,2,71,1,96,2,6,263,714,488,18,204,4,159.26470588235293
47,41.89232,-87.62369,0,153,32,7,1,73,365,672,569,38,63,2,210.493848857645
33,41.79984,-87.59465,0,69,2,338,5,1,124,93,51,0,42,0,94.86274509803921
42,41.84801,-87.68127,2,70,2,120,2,3,355,189,119,0,68,2,94.72058823529412
42,41.85675,-87.65501,0,59,1,480,7,11,0,189,119,0,68,2,113.11764705882354
76,41.77892,-87.59886,2,59,5,330,5,1,88,83,28,0,55,0,45.49090909090909
33,41.79963,-87.59477,0,115,3,46,1,1,360,93,51,0,42,0,94.86274509803921
